基準日,基準価額（円）,純資産額（億円）,分配金
2012/10/26,"10,000","0.50","-"
2012/10/29,"9,998","0.49","-"
2012/10/30,"9,997","0.49","-"
2012/10/31,"9,998","0.49","-"
2012/11/01,"10,005","0.50","-"
2012/11/02,"10,022","0.50","-"
2012/11/05,"10,036","0.50","-"
2012/11/06,"10,031","0.50","-"
2012/11/07,"10,042","0.50","-"
2012/11/08,"10,035","0.50","-"
2012/11/09,"10,014","0.50","-"
2012/11/12,"10,001","0.50","-"
2012/11/13,"9,998","0.49","-"
2012/11/14,"9,994","0.49","-"
2012/11/15,"9,995","0.49","-"
2012/11/16,"9,989","0.49","-"
2012/11/19,"9,995","0.49","-"
2012/11/20,"10,006","0.50","-"
2012/11/21,"10,010","0.50","-"
2012/11/22,"10,011","0.50","-"
2012/11/26,"10,019","0.50","-"
2012/11/27,"10,017","0.50","-"
2012/11/28,"10,020","0.50","-"
2012/11/29,"10,027","0.50","-"
2012/11/30,"10,052","0.50","-"
2012/12/03,"10,063","0.50","-"
2012/12/04,"10,058","0.50","-"
2012/12/05,"10,050","0.50","-"
2012/12/06,"10,068","0.50","-"
2012/12/07,"10,080","0.50","-"
2012/12/10,"10,080","0.50","-"
2012/12/11,"10,075","0.50","-"
2012/12/12,"10,071","0.50","-"
2012/12/13,"10,065","0.50","-"
2012/12/14,"10,065","0.50","-"
2012/12/17,"10,066","0.50","-"
2012/12/18,"10,069","0.50","-"
2012/12/19,"10,097","0.50","-"
2012/12/20,"10,113","0.50","-"
2012/12/21,"10,135","0.50","-"
2012/12/25,"10,152","0.50","-"
2012/12/26,"10,154","0.50","-"
2012/12/27,"10,149","0.50","-"
2012/12/28,"10,156","0.50","-"
2013/01/04,"10,207","0.51","-"
2013/01/07,"10,192","0.50","-"
2013/01/08,"10,170","0.50","-"
2013/01/09,"10,175","0.50","-"
2013/01/10,"10,191","0.50","-"
2013/01/11,"10,170","0.50","0"
2013/01/15,"10,183","0.50","-"
2013/01/16,"10,185","0.50","-"
2013/01/17,"10,192","0.50","-"
2013/01/18,"10,197","0.50","-"
2013/01/21,"10,223","0.51","-"
2013/01/22,"10,220","0.51","-"
2013/01/23,"10,210","0.51","-"
2013/01/24,"10,222","0.51","-"
2013/01/25,"10,241","0.51","-"
2013/01/28,"10,236","0.51","-"
2013/01/29,"10,227","0.51","-"
2013/01/30,"10,230","0.51","-"
2013/01/31,"10,211","0.51","-"
2013/02/01,"10,187","0.50","-"
2013/02/04,"10,209","0.51","-"
2013/02/05,"10,187","0.50","-"
2013/02/06,"10,216","0.51","-"
2013/02/07,"10,226","0.51","-"
2013/02/08,"10,224","0.51","-"
2013/02/12,"10,259","0.51","-"
2013/02/13,"10,252","0.51","-"
2013/02/14,"10,254","0.51","-"
2013/02/15,"10,245","0.51","-"
2013/02/18,"10,276","0.51","-"
2013/02/19,"10,280","0.51","-"
2013/02/20,"10,298","0.51","-"
2013/02/21,"10,303","0.51","-"
2013/02/22,"10,282","0.51","-"
2013/02/25,"10,325","0.51","-"
2013/02/26,"10,303","0.51","-"
2013/02/27,"10,302","0.51","-"
2013/02/28,"10,315","0.51","-"
2013/03/01,"10,337","0.51","-"
2013/03/04,"10,362","0.51","-"
2013/03/05,"10,345","0.51","-"
2013/03/06,"10,355","0.51","-"
2013/03/07,"10,367","0.51","-"
2013/03/08,"10,365","0.51","-"
2013/03/11,"10,377","0.51","-"
2013/03/12,"10,375","0.51","-"
2013/03/13,"10,372","0.51","-"
2013/03/14,"10,369","0.51","-"
2013/03/15,"10,377","0.51","-"
2013/03/18,"10,371","0.51","-"
2013/03/19,"10,357","0.51","-"
2013/03/21,"10,375","0.51","-"
2013/03/22,"10,366","0.51","-"
2013/03/25,"10,377","0.51","-"
2013/03/26,"10,382","0.51","-"
2013/03/27,"10,401","0.52","-"
2013/03/28,"10,402","0.52","-"
2013/03/29,"10,397","0.51","-"
2013/04/01,"10,372","0.51","-"
2013/04/02,"10,370","0.51","-"
2013/04/03,"10,384","0.51","-"
2013/04/04,"10,443","0.52","-"
2013/04/05,"10,466","0.52","-"
2013/04/08,"10,490","0.52","-"
2013/04/09,"10,491","0.52","-"
2013/04/10,"10,481","0.52","-"
2013/04/11,"10,489","0.52","0"
2013/04/12,"10,488","0.52","-"
2013/04/15,"10,490","0.52","-"
2013/04/16,"10,469","0.52","-"
2013/04/17,"10,488","0.52","-"
2013/04/18,"10,493","0.52","-"
2013/04/19,"10,494","0.52","-"
2013/04/22,"10,509","0.52","-"
2013/04/23,"10,511","0.52","-"
2013/04/24,"10,529","0.52","-"
2013/04/25,"10,535","0.52","-"
2013/04/26,"10,516","0.52","-"
2013/04/30,"10,517","0.52","-"
2013/05/01,"10,524","0.52","-"
2013/05/02,"10,521","0.52","-"
2013/05/07,"10,571","0.52","-"
2013/05/08,"10,586","0.52","-"
2013/05/09,"10,573","0.52","-"
2013/05/10,"10,596","0.52","-"
2013/05/13,"10,598","0.52","-"
2013/05/14,"10,569","0.52","-"
2013/05/15,"10,608","0.53","-"
2013/05/16,"10,612","0.53","-"
2013/05/17,"10,627","0.53","-"
2013/05/20,"10,673","0.53","-"
2013/05/21,"10,656","0.53","-"
2013/05/22,"10,654","0.53","-"
2013/05/23,"10,599","0.52","-"
2013/05/24,"10,516","0.52","-"
2013/05/27,"10,485","0.52","-"
2013/05/28,"10,490","0.52","-"
2013/05/29,"10,485","0.52","-"
2013/05/30,"10,437","0.52","-"
2013/05/31,"10,426","0.52","-"
2013/06/03,"10,411","0.52","-"
2013/06/04,"10,399","0.51","-"
2013/06/05,"10,397","0.51","-"
2013/06/06,"10,402","0.52","-"
2013/06/07,"10,393","0.51","-"
2013/06/10,"10,386","0.51","-"
2013/06/11,"10,368","0.51","-"
2013/06/12,"10,358","0.51","-"
2013/06/13,"10,358","0.51","-"
2013/06/14,"10,371","0.51","-"
2013/06/17,"10,383","0.51","-"
2013/06/18,"10,380","0.51","-"
2013/06/19,"10,378","0.51","-"
2013/06/20,"10,361","0.51","-"
2013/06/21,"10,307","0.51","-"
2013/06/24,"10,286","0.51","-"
2013/06/25,"10,267","0.51","-"
2013/06/26,"10,267","0.51","-"
2013/06/27,"10,286","0.51","-"
2013/06/28,"10,299","0.51","-"
2013/07/01,"10,295","0.51","-"
2013/07/02,"10,300","0.51","-"
2013/07/03,"10,311","0.51","-"
2013/07/04,"10,303","0.51","-"
2013/07/05,"10,319","0.51","-"
2013/07/08,"10,293","0.51","-"
2013/07/09,"10,309","0.51","-"
2013/07/10,"10,319","0.51","-"
2013/07/11,"10,312","0.51","0"
2013/07/12,"10,339","0.51","-"
2013/07/16,"10,363","0.51","-"
2013/07/17,"10,361","0.51","-"
2013/07/18,"10,379","0.51","-"
2013/07/19,"10,385","0.51","-"
2013/07/22,"10,388","0.51","-"
2013/07/23,"10,394","0.51","-"
2013/07/24,"10,387","0.51","-"
2013/07/25,"10,365","0.51","-"
2013/07/26,"10,329","0.51","-"
2013/07/29,"10,292","0.51","-"
2013/07/30,"10,299","0.51","-"
2013/07/31,"10,289","0.51","-"
2013/08/01,"10,317","0.51","-"
2013/08/02,"10,364","0.51","-"
2013/08/05,"10,367","0.51","-"
2013/08/06,"10,350","0.51","-"
2013/08/07,"10,307","0.51","-"
2013/08/08,"10,284","0.51","-"
2013/08/09,"10,296","0.51","-"
2013/08/12,"10,286","0.51","-"
2013/08/13,"10,320","0.51","-"
2013/08/14,"10,328","0.51","-"
2013/08/15,"10,304","0.51","-"
2013/08/16,"10,254","0.51","-"
2013/08/19,"10,250","0.52","-"
2013/08/20,"10,225","0.52","-"
2013/08/21,"10,225","0.52","-"
2013/08/22,"10,211","0.51","-"
2013/08/23,"10,221","0.52","-"
2013/08/26,"10,230","0.52","-"
2013/08/27,"10,228","0.52","-"
2013/08/28,"10,215","0.52","-"
2013/08/29,"10,224","0.52","-"
2013/08/30,"10,221","0.51","-"
2013/09/02,"10,214","0.51","-"
2013/09/03,"10,209","0.51","-"
2013/09/04,"10,204","0.51","-"
2013/09/05,"10,204","0.51","-"
2013/09/06,"10,193","0.51","-"
2013/09/09,"10,209","0.51","-"
2013/09/10,"10,222","0.51","-"
2013/09/11,"10,218","0.51","-"
2013/09/12,"10,221","0.51","-"
2013/09/13,"10,220","0.51","-"
2013/09/17,"10,231","0.52","-"
2013/09/18,"10,246","0.52","-"
2013/09/19,"10,286","0.52","-"
2013/09/20,"10,304","0.52","-"
2013/09/24,"10,292","0.52","-"
2013/09/25,"10,291","0.52","-"
2013/09/26,"10,296","0.52","-"
2013/09/27,"10,301","0.52","-"
2013/09/30,"10,264","0.52","-"
2013/10/01,"10,252","0.52","-"
2013/10/02,"10,253","0.52","-"
2013/10/03,"10,258","0.52","-"
2013/10/04,"10,247","0.52","-"
2013/10/07,"10,241","0.52","-"
2013/10/08,"10,233","0.52","-"
2013/10/09,"10,243","0.52","-"
2013/10/10,"10,251","0.52","-"
2013/10/11,"10,272","0.52","-"
2013/10/15,"10,274","0.52","-"
2013/10/16,"10,280","0.52","-"
2013/10/17,"10,301","0.52","-"
2013/10/18,"10,306","0.52","-"
2013/10/21,"10,322","0.52","-"
2013/10/22,"10,327","0.52","-"
2013/10/23,"10,321","0.52","-"
2013/10/24,"10,316","0.52","-"
2013/10/25,"10,292","0.57","-"
2013/10/28,"10,312","0.57","-"
2013/10/29,"10,317","0.57","-"
2013/10/30,"10,347","0.57","-"
2013/10/31,"10,339","0.57","-"
2013/11/01,"10,312","0.64","-"
2013/11/05,"10,304","0.64","-"
2013/11/06,"10,282","0.83","-"
2013/11/07,"10,284","0.88","-"
2013/11/08,"10,255","0.88","-"
2013/11/11,"10,268","0.94","-"
2013/11/12,"10,279","1.00","-"
2013/11/13,"10,276","1.00","-"
2013/11/14,"10,276","1.05","-"
2013/11/15,"10,336","1.12","-"
2013/11/18,"10,356","1.12","-"
2013/11/19,"10,362","1.25","-"
2013/11/20,"10,362","1.27","-"
2013/11/21,"10,356","1.57","-"
2013/11/22,"10,374","1.58","-"
2013/11/25,"10,394","1.65","-"
2013/11/26,"10,397","1.71","-"
2013/11/27,"10,395","1.74","-"
2013/11/28,"10,425","2.15","-"
2013/11/29,"10,445","2.67","-"
2013/12/02,"10,444","2.67","-"
2013/12/03,"10,439","2.75","-"
2013/12/04,"10,407","2.77","-"
2013/12/05,"10,383","2.81","-"
2013/12/06,"10,362","2.80","-"
2013/12/09,"10,413","2.92","-"
2013/12/10,"10,427","3.01","-"
2013/12/11,"10,410","3.24","-"
2013/12/12,"10,381","3.36","-"
2013/12/13,"10,375","3.77","-"
2013/12/16,"10,355","4.04","-"
2013/12/17,"10,377","4.62","-"
2013/12/18,"10,392","4.87","-"
2013/12/19,"10,436","4.97","-"
2013/12/20,"10,443","5.09","-"
2013/12/24,"10,449","5.26","-"
2013/12/25,"10,451","5.64","-"
2013/12/26,"10,481","5.66","-"
2013/12/27,"10,494","5.66","-"
2013/12/30,"10,522","5.68","-"
2014/01/06,"10,477","7.23","-"
2014/01/07,"10,465","7.54","-"
2014/01/08,"10,498","7.96","-"
2014/01/09,"10,490","8.30","-"
2014/01/10,"10,488","8.80","-"
2014/01/14,"10,440","8.80","0"
2014/01/15,"10,494","9.51","-"
2014/01/16,"10,530","10.38","-"
2014/01/17,"10,526","10.72","-"
2014/01/20,"10,514","11.42","-"
